"est","label","ending.day","ending.date","parameter"
0.122525837736606,"LSE",336,2021-01-01,"alpha"
0.163841805014222,"LSE",337,2021-01-02,"alpha"
0.23721975030115,"LSE",338,2021-01-03,"alpha"
0.29188035931573,"LSE",339,2021-01-04,"alpha"
0.341369271815479,"LSE",340,2021-01-05,"alpha"
0.378310593989907,"LSE",341,2021-01-06,"alpha"
0.409168998571214,"LSE",342,2021-01-07,"alpha"
0.435284117859041,"LSE",343,2021-01-08,"alpha"
0.459461310254081,"LSE",344,2021-01-09,"alpha"
0.483743006259315,"LSE",345,2021-01-10,"alpha"
0.505291304003979,"LSE",346,2021-01-11,"alpha"
0.526988301323594,"LSE",347,2021-01-12,"alpha"
0.545712086656915,"LSE",348,2021-01-13,"alpha"
0.561963704369382,"LSE",349,2021-01-14,"alpha"
0.576864096407127,"LSE",350,2021-01-15,"alpha"
0.590348006199352,"LSE",351,2021-01-16,"alpha"
0.605447017098474,"LSE",352,2021-01-17,"alpha"
0.620273435992926,"LSE",353,2021-01-18,"alpha"
0.634482832741593,"LSE",354,2021-01-19,"alpha"
0.648306185787741,"LSE",355,2021-01-20,"alpha"
0.66077900475193,"LSE",356,2021-01-21,"alpha"
0.671582412903993,"LSE",357,2021-01-22,"alpha"
0.678188785438149,"LSE",358,2021-01-23,"alpha"
0.68813430318658,"LSE",359,2021-01-24,"alpha"
0.689848431038804,"LSE",360,2021-01-25,"alpha"
0.703482431086682,"LSE",361,2021-01-26,"alpha"
0.708480488896746,"LSE",362,2021-01-27,"alpha"
0.708363098128256,"LSE",363,2021-01-28,"alpha"
0.706733270695869,"LSE",364,2021-01-29,"alpha"
0.708732265886719,"LSE",365,2021-01-30,"alpha"
0.710732049221136,"LSE",366,2021-01-31,"alpha"
0.720387729560353,"LSE",367,2021-02-01,"alpha"
0.7235431104446,"LSE",368,2021-02-02,"alpha"
0.722228235328853,"LSE",369,2021-02-03,"alpha"
0.718987903167741,"LSE",370,2021-02-04,"alpha"
0.718926729138749,"LSE",371,2021-02-05,"alpha"
0.722878621642017,"LSE",372,2021-02-06,"alpha"
0.726367920769781,"LSE",373,2021-02-07,"alpha"
0.730163064584431,"LSE",374,2021-02-08,"alpha"
0.725884049559206,"LSE",375,2021-02-09,"alpha"
0.732390071500144,"LSE",376,2021-02-10,"alpha"
0.729501996129821,"LSE",377,2021-02-11,"alpha"
0.731863656337401,"LSE",378,2021-02-12,"alpha"
0.731237255530679,"LSE",379,2021-02-13,"alpha"
0.730381749297606,"LSE",380,2021-02-14,"alpha"
0.729778318450555,"LSE",381,2021-02-15,"alpha"
0.729137295725912,"LSE",382,2021-02-16,"alpha"
0.728198870754961,"LSE",383,2021-02-17,"alpha"
0.727451877530798,"LSE",384,2021-02-18,"alpha"
0.726640693648216,"LSE",385,2021-02-19,"alpha"
0.725609515579026,"LSE",386,2021-02-20,"alpha"
0.724303098050529,"LSE",387,2021-02-21,"alpha"
0.723307865172498,"LSE",388,2021-02-22,"alpha"
0.722053718011728,"LSE",389,2021-02-23,"alpha"
0.72070323600753,"LSE",390,2021-02-24,"alpha"
0.719032885170445,"LSE",391,2021-02-25,"alpha"
0.717585286390344,"LSE",392,2021-02-26,"alpha"
0.715722780448836,"LSE",393,2021-02-27,"alpha"
0.71417913274888,"LSE",394,2021-02-28,"alpha"
0.712460379496555,"LSE",395,2021-03-01,"alpha"
0.71079815612001,"LSE",396,2021-03-02,"alpha"
0.709143391999776,"LSE",397,2021-03-03,"alpha"
0.70749854515458,"LSE",398,2021-03-04,"alpha"
0.705661405156699,"LSE",399,2021-03-05,"alpha"
0.704116285168915,"LSE",400,2021-03-06,"alpha"
0.70254809178222,"LSE",401,2021-03-07,"alpha"
0.701027092872521,"LSE",402,2021-03-08,"alpha"
0.699547476851128,"LSE",403,2021-03-09,"alpha"
0.697660405917432,"LSE",404,2021-03-10,"alpha"
0.6967358,"LSE",405,2021-03-11,"alpha"
0.732403074988576,"MLE",336,2021-01-01,"alpha"
0.737162378271743,"MLE",337,2021-01-02,"alpha"
0.737186111552576,"MLE",338,2021-01-03,"alpha"
0.73729021029449,"MLE",339,2021-01-04,"alpha"
0.737092518158995,"MLE",340,2021-01-05,"alpha"
0.737098808934602,"MLE",341,2021-01-06,"alpha"
0.737144328845776,"MLE",342,2021-01-07,"alpha"
0.736983452169602,"MLE",343,2021-01-08,"alpha"
0.73711539662856,"MLE",344,2021-01-09,"alpha"
0.737007151902897,"MLE",345,2021-01-10,"alpha"
0.713852110662688,"MLE",346,2021-01-11,"alpha"
0.713817384157515,"MLE",347,2021-01-12,"alpha"
0.73701434363235,"MLE",348,2021-01-13,"alpha"
0.737047629263531,"MLE",349,2021-01-14,"alpha"
0.737013685076328,"MLE",350,2021-01-15,"alpha"
0.737031824942836,"MLE",351,2021-01-16,"alpha"
0.737045248459329,"MLE",352,2021-01-17,"alpha"
0.737188588882499,"MLE",353,2021-01-18,"alpha"
0.737225000638671,"MLE",354,2021-01-19,"alpha"
0.737072556650339,"MLE",355,2021-01-20,"alpha"
0.737245879751723,"MLE",356,2021-01-21,"alpha"
0.737042969967502,"MLE",357,2021-01-22,"alpha"
0.737203426708433,"MLE",358,2021-01-23,"alpha"
0.737066681762338,"MLE",359,2021-01-24,"alpha"
0.737169581164852,"MLE",360,2021-01-25,"alpha"
0.737103033984471,"MLE",361,2021-01-26,"alpha"
0.737099153604952,"MLE",362,2021-01-27,"alpha"
0.737084751782744,"MLE",363,2021-01-28,"alpha"
0.737225050679936,"MLE",364,2021-01-29,"alpha"
0.737203231483464,"MLE",365,2021-01-30,"alpha"
0.737211223352217,"MLE",366,2021-01-31,"alpha"
0.737341002869916,"MLE",367,2021-02-01,"alpha"
0.737094346225074,"MLE",368,2021-02-02,"alpha"
0.737166951740352,"MLE",369,2021-02-03,"alpha"
0.737166251222129,"MLE",370,2021-02-04,"alpha"
