"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
11,98,30,12,57,61,134,154,112,138
157,21,130,138,52,62,146,41,72,97
58,155,15,131,62,69,172,71,74,18
128,174,16,23,109,127,76,114,166,74
153,134,71,57,98,72,6,172,52,117
140,88,119,82,62,94,30,129,169,132
107,96,141,114,57,76,135,87,112,64
118,27,128,150,121,65,127,151,161,71
102,169,97,104,103,123,176,162,27,86
48,165,12,162,169,58,168,57,54,105
143,176,136,13,138,96,159,24,84,127
36,144,141,4,12,147,130,112,101,123
153,83,115,175,127,29,91,14,107,77
147,70,4,41,42,84,36,110,39,73
123,56,93,171,146,174,160,98,50,34
62,97,49,39,154,170,94,86,75,155
106,86,78,176,72,90,85,110,55,105
17,144,58,65,133,111,66,140,12,94
167,147,93,64,45,98,94,163,114,123
22,91,124,58,69,44,59,128,46,146
83,49,6,69,77,19,31,116,95,66
115,9,29,180,28,39,31,38,155,128
48,12,117,59,10,42,149,114,130,108
141,8,143,175,152,162,176,7,23,177
91,167,163,173,86,32,147,107,152,21
26,85,99,74,103,117,94,109,35,122
174,51,135,125,89,45,175,34,47,18
121,136,7,67,6,124,43,100,173,133
76,45,51,46,87,64,90,88,154,35
169,145,167,18,122,19,153,72,42,118
119,65,87,179,95,111,39,125,104,46
3,164,72,111,9,44,144,52,96,113
131,31,102,161,148,89,20,60,9,92
23,125,134,57,8,180,30,4,12,111
120,111,106,118,37,41,116,162,92,173
148,32,159,142,101,58,161,84,144,119
83,42,75,125,11,47,113,111,114,163
135,11,84,143,161,140,42,10,49,63
4,170,104,58,134,113,156,50,126,153
150,137,163,50,66,103,88,91,33,154
175,19,122,89,62,158,154,93,128,34
33,138,119,19,74,69,83,65,77,91
38,25,97,103,83,43,39,33,79,138
4,175,73,84,54,113,92,121,43,145
116,76,6,176,168,179,156,122,177,160
172,17,168,161,104,129,173,177,180,153
53,19,18,4,72,168,76,22,166,27
32,46,49,16,17,140,148,123,100,27
178,105,102,60,55,148,92,143,47,134
156,174,50,23,125,44,91,29,2,21
51,58,115,101,121,33,49,25,68,177
118,135,167,172,122,39,137,6,125,133
173,32,6,139,49,111,50,48,103,29
148,55,155,17,31,169,26,58,2,137
50,9,163,169,13,29,101,67,178,28
170,123,122,85,36,54,152,96,165,136
53,149,176,85,33,175,133,158,159,25
47,57,156,63,51,23,154,164,99,9
60,145,52,94,122,56,136,44,90,140
155,147,52,49,63,48,139,174,58,61
76,112,24,78,133,32,167,138,130,37
127,112,123,116,2,60,38,53,40,12
151,12,76,137,152,92,45,89,128,155
103,6,153,105,20,149,151,7,110,129
145,37,144,57,69,180,90,141,102,25
109,94,22,2,8,173,119,166,151,50
173,72,109,86,39,73,104,116,174,12
78,82,41,147,95,42,120,70,80,63
81,11,22,24,153,120,144,159,49,123
53,33,61,75,115,55,64,15,80,25
108,130,14,167,113,93,63,39,140,74
12,90,23,47,127,80,33,6,126,42
47,118,128,16,153,179,46,139,95,65
75,84,117,15,17,85,135,148,76,179
25,37,3,145,62,5,154,104,50,66
43,134,167,54,100,123,56,48,33,90
164,98,120,5,102,27,139,81,83,178
100,66,77,138,2,174,166,8,107,6
78,7,10,79,74,134,27,73,71,26
37,109,5,50,47,129,2,134,57,86
37,140,51,98,74,148,20,118,129,152
87,80,137,88,63,29,126,27,109,39
103,177,74,163,167,131,41,20,168,107
74,15,41,75,19,36,44,173,180,32
145,96,70,174,114,18,3,4,7,72
11,115,160,175,35,5,163,141,37,54
70,54,100,178,22,89,60,120,39,119
167,139,82,119,136,121,56,146,15,107
35,65,94,168,153,46,93,23,78,102
68,103,140,117,119,116,72,165,47,151
140,168,24,93,14,41,33,123,50,59
47,6,72,62,56,149,114,43,105,23
164,129,104,27,180,30,16,33,174,108
35,52,108,92,24,26,38,11,19,74
152,5,167,20,113,81,23,82,115,169
136,158,140,83,89,39,5,108,85,50
37,90,145,62,120,63,40,159,112,26
101,112,91,164,161,116,148,104,22,134
11,74,119,26,76,55,33,118,49,138
77,172,5,107,180,94,111,48,165,162
