"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
154,40,105,118,155,83,128,10,102,25,157
174,80,30,73,153,114,26,12,35,136,56
141,62,98,95,129,65,30,152,57,180,145
36,73,84,136,32,19,133,45,171,95,52
18,88,9,61,22,137,138,127,37,67,59
30,106,87,131,40,100,125,154,74,43,82
127,147,37,27,161,90,94,166,60,28,9
24,56,51,74,60,112,76,49,143,90,6
175,24,111,62,32,87,74,146,63,77,127
99,90,167,65,156,82,78,91,37,52,109
155,120,110,17,111,98,79,84,163,15,34
11,160,38,48,82,87,83,129,5,130,52
57,157,2,5,109,172,113,13,104,69,136
69,149,77,146,70,143,76,80,9,180,135
6,101,77,122,16,166,21,140,99,152,144
102,70,77,4,170,179,11,29,114,69,147
72,6,78,102,38,4,33,82,141,122,148
105,134,43,128,75,145,85,147,26,62,9
131,41,68,136,18,82,161,95,32,169,147
23,51,101,170,175,68,27,58,126,87,48
8,45,136,3,107,63,146,83,175,84,46
111,2,61,126,106,16,24,67,129,95,17
133,9,84,50,26,167,99,66,142,5,174
98,77,162,167,117,169,78,133,137,128,41
143,117,87,77,33,139,113,168,22,88,12
105,144,4,168,136,93,78,37,145,18,56
175,178,166,162,51,11,172,27,36,41,110
148,135,119,128,174,100,43,42,48,167,147
73,12,177,179,11,31,100,68,72,144,149
168,17,87,105,95,46,91,22,85,64,32
150,68,144,169,145,180,91,79,173,109,58
61,168,32,51,111,8,100,128,57,145,49
161,90,91,55,70,111,78,126,88,121,145
61,35,63,58,95,115,11,121,18,178,9
91,155,164,172,111,72,20,100,52,68,60
96,136,155,159,134,111,170,103,120,116,128
58,109,105,141,27,47,138,34,43,48,7
80,142,85,60,156,91,132,159,119,49,105
91,79,100,7,179,61,107,28,27,150,129
95,48,129,12,16,139,80,29,116,79,174
73,77,33,16,89,57,35,90,127,91,100
121,9,46,150,164,134,151,73,84,136,162
86,176,90,118,124,121,147,99,26,161,157
66,67,132,44,99,88,162,32,174,90,180
81,127,119,4,18,41,10,72,145,140,34
138,33,52,37,149,123,11,34,79,23,21
5,108,150,117,88,9,76,78,146,126,133
176,147,109,118,70,119,124,98,36,16,120
5,8,53,43,67,159,105,149,155,122,21
121,115,70,43,139,86,33,93,111,138,141
135,54,39,133,163,103,77,122,18,52,8
48,94,15,76,145,5,72,111,40,116,19
38,161,101,172,9,102,59,28,49,81,15
71,166,26,32,120,15,40,7,163,112,23
41,132,171,116,174,92,84,59,153,110,136
27,7,47,86,127,174,100,148,97,37,124
155,15,89,55,114,140,67,91,139,135,42
5,55,89,51,32,146,157,151,135,86,91
134,126,139,180,114,35,140,125,152,141,116
126,139,37,154,114,80,172,155,131,95,130
44,101,146,128,162,100,64,96,73,14,102
34,27,131,177,178,8,41,23,145,171,58
150,2,91,117,149,99,24,100,43,147,82
26,54,137,126,153,82,160,167,131,152,120
34,131,105,162,110,6,174,100,32,17,129
173,125,17,165,63,38,9,28,52,146,97
21,111,25,160,88,27,132,63,159,116,80
83,67,175,59,134,164,63,35,158,39,171
3,180,12,88,121,22,55,109,23,108,8
89,29,53,134,10,152,167,156,151,113,166
153,88,105,130,115,171,155,176,178,48,141
145,69,43,131,172,139,66,25,54,171,77
60,68,143,118,46,33,178,114,50,159,131
31,107,34,108,62,170,66,124,112,134,55
161,176,111,27,128,120,126,116,32,44,124
30,9,96,81,71,113,129,180,10,22,56
174,134,139,56,18,135,111,102,99,42,106
103,172,120,29,117,108,50,153,20,123,141
88,47,33,87,37,116,24,163,140,158,143
144,114,138,143,112,151,152,14,49,11,3
166,49,72,10,15,135,47,138,64,66,11
159,99,164,62,35,8,153,177,5,149,31
141,163,68,148,46,161,23,158,95,67,11
47,28,109,54,129,82,66,96,34,112,75
45,66,14,35,15,97,16,135,175,18,160
127,22,104,157,84,79,112,120,117,126,154
89,122,79,78,129,6,139,153,170,41,169
87,118,171,153,110,93,41,147,154,61,165
93,77,155,149,73,74,169,133,116,40,55
4,55,83,31,63,141,75,177,118,154,49
50,154,149,62,169,60,40,115,123,113,99
120,105,162,81,60,104,179,25,74,158,118
49,153,70,83,103,86,18,119,79,87,26
79,9,22,23,137,134,28,57,90,11,151
27,56,115,95,25,15,35,91,108,5,101
140,155,126,137,19,91,10,14,120,87,93
117,146,138,148,129,4,119,78,100,161,26
115,113,11,42,160,122,40,99,31,73,105
137,13,43,53,3,134,115,63,177,80,145
159,113,100,21,88,156,87,116,7,134,41
