"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
98,62,21,178,11,147,71,73,75,51,131,134
158,179,160,110,57,10,48,9,111,37,140,174
78,49,148,128,11,120,22,42,108,84,3,18
129,15,55,51,174,143,110,12,164,112,7,40
85,26,105,113,180,18,160,89,118,30,132,157
178,126,41,89,113,83,53,63,114,133,11,76
170,140,134,156,166,155,79,63,106,65,21,152
128,9,156,47,70,20,54,10,170,44,133,45
115,105,110,58,125,66,37,102,178,77,121,169
85,29,114,180,58,35,153,177,48,117,109,103
107,134,73,152,9,120,148,160,31,165,87,17
146,62,83,76,156,87,45,140,171,124,44,128
25,13,154,167,177,49,9,115,121,112,36,175
161,57,69,116,111,48,56,172,60,31,16,90
150,39,161,94,61,133,99,109,52,117,130,100
161,176,99,158,134,60,111,126,17,44,101,84
3,71,27,150,171,38,93,137,89,116,12,32
21,3,171,153,45,102,164,105,23,127,154,56
150,153,89,136,62,12,68,157,127,50,163,65
85,21,124,25,160,155,151,167,57,56,93,71
66,142,106,117,101,130,10,31,48,5,67,114
28,34,7,92,42,86,145,155,120,63,9,43
141,172,169,22,117,21,95,130,36,174,139,93
163,148,55,18,166,85,122,100,141,146,133,174
84,125,80,58,38,10,176,94,116,4,30,20
159,41,165,92,8,164,83,104,150,128,144,78
173,57,91,76,109,96,12,38,59,157,175,13
121,115,137,102,22,170,176,67,76,24,146,89
65,149,42,100,162,104,155,89,165,57,140,107
52,117,82,110,55,160,31,51,143,151,142,36
3,5,30,44,85,27,36,91,46,176,23,56
153,44,24,114,139,171,127,37,149,121,111,2
131,25,112,156,17,166,33,114,75,134,20,59
112,92,172,76,53,16,34,74,37,25,162,30
59,179,18,21,10,162,146,5,113,39,153,33
95,28,176,134,72,2,35,17,25,163,58,160
114,91,31,71,100,126,74,12,98,173,96,3
110,118,105,162,147,19,178,117,69,172,53,167
20,148,173,138,157,81,105,63,146,161,156,79
19,53,43,144,96,76,44,160,35,55,59,132
126,178,67,118,109,57,156,159,127,35,122,48
57,68,102,6,138,106,50,156,80,92,82,158
45,145,98,82,167,143,118,49,31,37,175,69
111,180,75,107,26,140,142,48,118,119,121,115
40,102,160,94,128,116,152,58,146,35,56,107
79,76,95,73,126,157,138,19,125,22,62,26
75,36,149,91,9,67,133,2,88,60,33,27
60,36,77,167,153,7,166,180,10,156,86,179
127,66,70,83,49,146,120,2,6,65,75,42
103,87,137,113,148,139,7,122,21,70,36,126
23,20,161,18,5,13,37,117,133,54,129,147
141,55,20,12,30,129,45,161,5,72,104,173
87,153,110,85,159,174,171,32,106,38,137,95
163,92,151,35,81,170,26,80,166,52,112,174
116,15,3,58,20,75,22,128,115,121,158,71
98,106,34,159,25,83,18,65,20,109,108,132
170,57,161,16,6,88,162,139,41,117,125,101
121,152,51,98,27,146,93,95,131,59,179,156
116,151,108,176,170,121,9,12,98,159,105,178
117,5,37,154,175,121,12,79,68,46,137,74
58,15,95,114,86,180,16,144,135,129,123,38
123,80,174,87,130,84,162,105,79,129,75,115
56,78,171,167,91,106,33,43,49,57,92,64
13,118,112,149,173,71,49,147,57,95,12,39
38,23,134,122,92,62,46,139,77,142,115,76
168,159,60,37,139,78,171,35,88,167,165,175
120,123,71,113,55,122,51,21,154,29,54,44
159,120,18,74,143,38,144,106,33,160,13,130
34,101,57,53,47,110,163,114,36,107,109,134
162,102,10,6,142,36,49,73,97,37,140,179
18,88,54,36,45,40,26,109,178,105,170,129
51,37,6,11,77,163,160,140,16,55,175,151
169,50,88,164,161,18,102,179,87,162,81,21
114,42,95,20,153,157,123,72,34,55,49,178
89,86,40,14,103,172,47,74,147,75,57,37
45,88,31,71,171,147,55,78,180,12,73,47
103,122,83,43,177,4,52,179,158,135,148,95
37,63,85,47,155,62,165,116,41,99,120,83
143,132,61,149,86,98,32,13,45,10,21,35
90,80,64,46,87,19,42,130,124,122,22,105
68,109,158,11,65,20,130,88,172,106,169,16
161,38,151,16,71,59,138,25,8,29,5,135
125,57,23,136,51,100,95,142,2,48,44,32
151,140,26,31,125,15,77,110,72,94,92,88
75,123,164,125,117,30,66,35,88,153,83,176
124,40,17,43,169,179,151,147,30,89,73,159
138,123,119,158,19,90,163,156,173,130,95,120
25,90,58,134,37,151,119,33,100,173,69,53
73,112,167,129,122,174,106,62,42,51,125,156
143,112,121,34,44,61,24,11,17,3,144,47
87,127,146,126,97,65,115,12,143,135,41,120
152,89,95,51,138,90,102,23,52,7,120,86
160,126,86,161,135,34,95,150,59,41,179,53
135,51,105,177,21,80,27,28,68,123,45,37
2,7,3,93,59,175,106,133,109,35,19,125
33,111,17,58,76,73,92,171,20,47,69,110
49,101,5,137,169,88,90,112,174,56,7,13
142,144,84,54,170,91,112,7,51,48,80,125
140,41,119,28,37,12,129,14,101,176,164,86
178,31,157,96,161,135,54,104,180,169,105,27
