"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
70,53,171,67,97,79,89,123,73,132,33,62,166,57
81,151,78,65,88,115,52,154,62,87,72,112,11,101
47,32,21,90,131,110,120,76,97,108,135,105,149,27
20,148,70,172,48,62,75,53,124,134,174,57,171,38
131,137,158,93,96,76,13,23,141,64,103,67,119,14
131,151,23,147,153,43,79,66,20,105,47,126,115,56
65,4,34,101,125,84,94,63,167,76,100,81,102,129
9,46,125,74,26,95,54,47,141,172,13,136,89,133
128,156,100,130,3,22,59,82,133,115,139,176,142,177
63,142,124,97,89,90,133,82,162,14,99,15,30,65
63,42,25,8,37,3,151,48,84,22,113,115,146,177
52,175,37,55,72,25,162,28,19,122,26,133,127,173
82,108,49,162,34,168,85,178,19,45,12,52,113,90
55,81,27,41,30,157,140,35,161,143,113,131,66,59
134,92,81,4,38,115,12,103,15,151,127,114,107,165
90,27,45,58,154,69,74,47,123,119,135,149,142,162
13,106,43,148,52,46,81,118,5,150,36,56,162,26
127,32,22,151,72,109,175,67,108,73,121,101,162,40
150,93,179,177,43,28,3,154,141,41,49,158,65,54
26,33,17,120,60,113,47,77,121,31,180,29,5,72
5,140,172,104,119,82,25,93,33,87,85,125,157,6
81,99,108,107,50,87,9,166,64,71,62,114,2,83
40,38,121,19,175,109,9,122,4,6,99,23,152,123
34,44,150,122,85,62,112,175,38,80,26,29,70,145
81,22,71,109,49,174,61,76,133,89,101,95,2,63
148,17,8,171,34,123,22,45,74,39,165,164,152,58
141,17,87,86,158,128,124,3,116,10,168,93,78,35
122,46,87,153,67,18,107,39,26,171,111,45,36,125
40,72,130,87,175,43,139,179,121,48,93,44,101,67
115,152,159,104,180,5,35,108,163,18,38,155,6,101
36,18,126,165,136,152,47,172,140,148,153,74,39,112
161,98,71,73,36,140,17,28,152,127,169,156,34,146
139,129,46,164,87,162,170,178,121,27,61,154,68,91
151,17,176,162,164,136,74,135,28,55,73,27,170,22
28,178,81,44,67,142,173,118,125,177,40,146,92,109
73,71,144,129,22,14,113,149,72,66,17,165,15,31
56,129,64,6,49,46,7,4,76,100,92,43,168,159
45,118,51,96,106,38,40,9,80,79,133,34,10,103
58,73,178,134,53,123,102,35,149,16,65,119,169,25
27,68,168,72,142,131,38,57,84,129,49,29,101,161
66,60,38,5,69,128,134,74,145,75,26,96,49,146
120,68,61,95,115,127,90,145,84,162,109,14,132,29
40,53,92,106,69,114,84,146,24,156,16,59,3,18
116,93,146,82,90,9,97,7,60,83,126,29,37,133
38,25,73,82,162,107,171,2,164,63,13,109,161,56
18,147,44,129,136,42,48,45,95,113,97,26,141,70
180,161,13,17,108,130,160,71,156,155,93,113,75,166
57,114,90,22,175,161,37,100,43,98,157,56,16,13
67,172,171,58,15,97,119,169,110,75,177,70,42,22
44,85,3,26,171,53,141,104,4,83,180,131,81,98
51,131,144,65,7,21,106,12,57,81,41,138,114,79
30,152,23,133,119,145,33,47,112,124,69,73,146,138
118,40,19,55,58,121,77,69,79,4,113,132,61,167
113,89,38,50,31,178,46,127,173,164,42,99,22,147
161,155,32,80,105,50,15,72,164,48,174,114,130,170
148,14,68,160,124,139,87,23,132,85,131,114,144,75
148,150,178,37,38,59,27,135,108,122,2,121,3,4
74,112,143,108,180,88,8,26,119,53,158,38,109,45
100,63,15,10,98,153,21,172,78,6,53,117,105,94
71,95,77,117,65,90,152,29,116,178,54,119,40,122
72,79,66,23,124,149,175,97,179,45,117,42,35,171
12,156,59,62,45,9,177,174,78,100,48,166,74,114
82,2,146,148,164,16,67,149,36,15,169,117,140,43
112,41,128,12,153,89,154,157,100,21,33,180,150,56
147,137,33,8,167,79,96,146,174,166,5,37,142,15
44,116,23,131,82,6,107,83,110,50,9,172,30,135
2,167,62,126,23,26,85,72,99,179,43,71,52,140
11,45,92,64,56,99,157,170,78,40,43,81,83,19
158,149,172,171,160,140,24,170,72,97,130,78,161,143
44,167,78,9,93,43,31,92,27,144,123,34,23,110
48,110,180,89,54,29,172,64,122,148,160,82,124,130
140,93,87,174,20,112,79,72,146,71,73,123,126,68
93,92,35,95,172,39,72,130,87,33,45,27,178,169
131,168,19,61,51,164,159,56,103,25,62,163,37,60
7,96,136,160,82,90,76,164,38,115,130,139,43,158
140,12,111,19,106,43,165,147,128,154,74,7,20,105
172,128,50,164,6,60,119,8,110,113,27,78,29,105
175,162,14,21,49,119,7,146,79,88,149,178,46,104
116,147,90,27,144,160,65,51,18,46,55,130,149,114
149,83,40,133,70,126,165,80,120,138,160,37,5,15
154,38,96,110,108,44,48,21,15,173,162,164,10,91
2,139,162,64,164,151,174,147,52,175,42,69,76,171
65,60,22,128,102,101,174,6,144,162,25,122,84,94
