"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
165,123,87,148,22,18,71,108,16,101,102,120,44,107,170,105,95
104,90,27,77,49,148,21,79,168,144,83,165,116,44,158,125,117
122,152,163,23,56,39,50,161,46,119,164,59,27,88,151,121,158
31,58,87,42,16,17,76,120,8,144,68,39,25,85,61,155,54
45,82,98,27,165,9,86,13,128,164,141,94,174,144,127,55,68
4,179,85,43,42,7,133,161,163,52,96,64,159,21,101,29,15
139,51,63,104,9,108,30,42,107,29,84,127,2,180,92,149,83
15,152,159,71,70,23,180,143,123,177,20,97,175,102,52,127,116
44,77,105,161,156,61,90,52,33,120,124,50,115,163,15,93,143
158,102,154,106,119,59,172,41,6,96,159,81,82,175,180,12,60
124,68,91,9,160,145,111,81,104,96,19,141,117,60,25,49,180
72,118,76,71,3,108,120,49,169,110,136,4,10,42,141,145,148
31,164,162,135,71,180,167,20,19,65,50,39,159,153,63,91,150
63,52,58,168,167,156,91,42,67,145,44,175,87,88,141,127,30
36,175,25,171,21,172,66,180,26,65,111,11,78,140,142,112,38
171,87,6,11,104,132,92,150,118,103,105,21,26,81,143,59,137
127,24,97,75,157,89,67,96,45,175,25,43,118,156,129,145,82
109,135,166,50,55,165,133,7,150,180,62,86,131,49,103,178,2
50,141,76,96,33,151,53,144,118,32,161,31,65,29,64,23,67
123,47,75,179,44,153,162,90,4,146,14,168,76,117,147,19,155
92,65,66,119,83,162,9,105,26,53,82,51,115,158,134,177,70
57,16,98,17,46,129,27,25,139,112,158,133,94,47,168,136,68
146,14,94,132,167,160,31,61,148,19,147,113,107,45,119,162,46
87,48,49,113,53,30,118,33,79,35,74,152,129,103,16,3,39
114,112,60,27,11,110,93,113,152,79,135,71,65,57,73,38,69
103,47,158,98,150,146,20,124,160,81,56,32,100,90,22,75,44
107,10,74,159,46,146,178,100,132,138,57,119,143,98,113,108,175
177,19,119,9,57,71,47,98,85,151,4,105,160,65,3,176,75
53,66,138,164,65,172,95,133,20,159,4,97,150,112,109,81,101
93,97,26,18,76,54,174,173,70,143,116,94,141,25,160,126,66
34,163,52,121,125,51,132,117,170,114,160,102,49,162,38,4,2
121,125,165,3,150,14,10,61,49,39,19,155,100,116,162,136,133
83,113,3,25,9,41,43,24,143,29,98,174,73,51,123,134,140
26,10,131,122,161,22,105,44,132,145,110,64,41,177,69,153,95
179,144,175,78,39,150,141,16,108,19,134,48,139,37,124,61,129
160,167,143,85,17,105,132,22,64,19,168,153,106,84,60,7,127
31,21,166,104,77,41,127,113,173,83,52,177,49,56,42,70,137
49,43,45,55,125,130,122,131,164,56,120,19,11,67,25,129,165
167,60,107,52,57,157,143,82,113,44,72,59,68,110,50,166,118
121,47,19,44,141,55,105,95,140,15,134,120,114,171,25,139,131
159,22,118,111,144,117,163,19,5,68,86,102,30,153,173,57,42
146,42,97,61,95,55,131,80,129,128,152,71,40,6,121,34,113
19,130,53,150,21,40,17,122,151,96,7,32,139,88,43,16,119
62,178,44,35,176,136,37,55,154,25,81,88,23,64,3,142,92
155,3,171,19,83,122,37,169,43,97,79,39,78,165,177,47,163
150,128,69,167,66,17,7,164,14,121,171,96,120,30,20,92,25
59,162,110,84,92,37,36,149,125,118,16,87,83,93,136,60,20
175,79,14,13,115,55,62,170,59,19,150,33,76,97,117,144,69
27,159,138,125,149,164,89,75,60,45,18,110,143,85,160,88,97
23,82,25,71,83,6,32,90,169,144,62,2,153,20,40,17,18
149,48,80,105,139,98,132,111,146,154,43,24,88,6,15,92,47
148,69,27,89,174,131,31,15,46,147,155,19,125,146,54,102,6
155,48,46,58,36,147,169,161,40,68,174,69,160,178,125,162,133
89,121,151,87,163,77,107,61,14,116,180,81,166,32,8,161,97
44,30,107,101,137,133,33,166,96,38,57,162,87,97,56,90,140
64,88,162,22,175,66,20,141,108,83,75,168,135,8,53,67,101
73,166,46,174,83,121,41,19,18,68,29,51,140,87,111,4,52
134,3,84,59,154,42,22,180,11,164,176,9,160,77,51,48,17
30,61,178,93,180,7,103,119,102,179,171,109,157,158,163,131,105
34,165,100,131,93,101,91,6,56,136,7,128,115,98,103,50,154
65,74,100,106,147,95,16,29,79,171,13,178,36,2,64,125,19
157,147,143,170,178,27,79,32,7,95,94,92,89,101,138,150,77
12,172,49,25,70,166,103,40,129,61,68,7,41,93,155,54,4
164,126,56,104,13,141,59,110,82,3,119,19,88,43,97,121,92
174,91,100,44,116,94,108,153,78,27,18,135,37,64,79,40,163
115,79,71,12,148,17,41,80,164,178,32,147,19,16,15,154,82
58,35,8,39,129,25,66,97,150,70,49,19,115,80,89,22,69
179,80,175,70,59,178,78,6,123,132,9,122,18,154,96,85,166
167,146,131,9,21,132,179,39,26,118,8,177,36,97,153,116,74
80,23,83,59,108,91,32,138,95,99,164,92,3,38,13,48,98
81,152,86,17,129,108,166,56,61,57,101,95,169,144,23,41,63
18,116,146,113,79,152,10,159,130,55,71,123,27,70,23,88,2
121,161,80,10,133,107,23,36,63,166,179,62,103,172,176,137,89
79,100,22,64,78,18,89,63,114,21,37,35,146,81,172,102,109
98,128,101,94,112,118,116,87,77,62,9,39,55,20,32,154,72
76,62,64,27,158,160,133,178,39,73,176,67,31,74,65,6,4
119,105,164,165,180,83,92,2,74,139,170,122,12,75,76,108,30
30,123,165,63,104,160,68,173,19,178,64,15,116,153,32,103,36
152,127,155,46,73,120,31,125,126,160,167,87,132,9,108,93,50
49,125,167,140,161,145,116,11,112,84,105,142,88,115,44,42,68
127,152,179,178,64,31,125,32,142,26,85,66,76,94,155,169,136
178,92,67,173,69,99,133,44,63,146,70,47,88,141,119,2,129
174,12,135,20,103,35,58,74,110,104,17,31,164,132,178,2,102
148,21,51,76,102,159,122,30,37,165,133,2,139,29,81,36,116
117,5,169,2,145,152,107,80,10,48,38,156,146,14,81,147,110
69,121,68,12,42,149,136,139,92,83,73,120,163,103,33,133,124
17,131,147,12,167,64,27,60,150,10,126,161,75,90,8,79,160
23,144,49,114,98,39,128,100,61,179,178,125,113,20,171,162,13
107,120,161,129,21,62,153,33,34,124,67,158,85,89,88,97,80
9,159,52,41,2,71,114,61,97,119,81,50,76,4,127,24,13
94,40,110,147,143,46,23,90,63,37,21,17,24,15,43,172,76
74,165,12,29,17,143,18,175,140,10,78,177,2,51,122,70,14
171,58,38,169,37,35,27,132,84,6,180,172,106,12,136,158,78
114,161,176,93,123,72,153,14,134,144,137,54,168,92,85,51,3
122,64,112,162,92,31,141,124,22,37,121,59,69,144,177,179,49
82,61,41,174,127,64,103,94,35,122,69,11,160,159,39,48,168
51,125,122,106,21,157,26,152,117,48,153,100,166,137,78,160,132
142,145,179,97,53,156,155,144,46,147,81,165,77,6,158,152,27
178,72,62,59,155,135,117,2,15,129,103,89,41,21,169,49,144
159,119,13,130,128,141,35,83,101,28,17,82,117,142,133,165,160
