"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
177,132,122,9,81,65,173,39,136,135,178,120,121,44,50,67,111,5
98,5,62,33,27,96,56,58,67,131,150,26,146,3,130,153,110,170
128,129,123,38,176,102,141,71,7,179,154,142,106,82,35,37,77,157
4,9,43,130,40,154,39,121,106,127,15,152,129,123,132,45,26,175
100,126,128,72,67,117,27,21,118,7,147,14,78,74,85,136,42,75
59,154,110,2,82,27,149,46,127,152,86,72,131,107,145,166,165,14
35,54,67,26,14,16,155,140,2,129,72,120,13,156,12,83,77,108
74,124,164,108,90,99,102,134,135,97,58,56,143,128,133,111,178,45
42,108,20,38,143,55,4,76,99,133,131,75,98,132,66,109,45,173
122,105,12,68,40,160,130,51,169,127,8,170,119,47,67,60,83,50
48,2,106,83,109,59,121,8,177,104,58,133,47,172,158,155,43,14
127,12,72,73,113,7,13,9,88,21,121,61,4,133,100,48,164,179
81,164,78,42,22,97,128,58,38,145,161,10,136,18,99,112,15,60
178,100,5,102,36,132,84,170,85,174,143,153,22,118,133,76,62,81
31,66,34,63,10,111,175,73,116,4,26,124,52,134,108,58,85,180
57,142,171,177,20,105,143,46,150,37,48,144,145,95,79,172,39,162
11,71,22,136,9,18,137,39,175,55,32,148,110,116,147,86,52,59
81,70,92,26,56,148,111,91,146,16,109,69,72,99,95,25,178,113
20,4,111,118,54,160,136,166,21,85,131,8,134,179,48,18,33,110
140,20,145,51,180,73,89,7,56,104,128,147,32,155,168,85,46,17
138,97,88,64,85,66,137,154,67,124,26,59,178,150,54,142,112,166
138,55,40,111,54,78,113,64,124,121,10,180,74,174,4,164,118,104
145,136,10,133,95,98,124,139,180,100,155,150,83,62,84,40,147,76
6,106,4,67,179,44,120,38,78,142,85,53,108,33,84,136,176,9
86,104,61,78,60,73,19,39,67,29,55,43,85,110,168,8,9,87
136,50,169,36,59,92,2,114,5,68,147,135,172,53,45,134,117,18
120,46,141,132,174,68,93,98,94,88,69,64,39,96,13,45,24,129
125,11,119,37,127,88,26,115,56,112,20,167,104,33,114,172,101,17
129,19,76,170,16,73,113,110,106,80,49,77,157,71,160,23,30,180
88,174,124,134,96,81,175,142,23,171,7,66,129,16,120,31,118,12
38,58,142,109,22,144,145,100,72,160,155,138,32,158,48,93,130,8
167,86,72,172,95,41,12,90,164,10,57,76,27,120,154,66,125,161
122,104,148,47,20,44,8,53,123,115,101,154,127,58,6,120,17,65
177,114,89,20,85,150,94,92,3,17,107,77,68,4,9,137,172,180
53,4,29,8,70,94,158,98,9,88,50,72,133,175,47,160,132,85
67,117,162,81,131,4,95,159,15,178,84,51,6,164,136,48,124,55
12,123,146,99,104,30,76,79,81,16,24,168,116,67,108,112,85,29
