"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
12,81,19,89,106,178,154,83,111,125,28,97,16,155,85,96,122,116,10
93,168,37,129,167,144,111,39,140,103,94,134,122,12,62,76,120,105,42
37,42,134,152,66,150,81,163,48,180,57,140,136,69,40,80,126,13,159
153,2,54,58,63,157,114,125,132,137,98,85,87,82,3,165,123,120,145
27,63,149,165,67,153,145,162,158,180,103,157,93,137,17,124,147,33,19
72,16,118,137,65,179,120,38,71,4,68,49,66,110,168,156,59,112,175
69,117,61,77,97,114,123,54,53,17,21,87,164,16,160,56,90,20,116
94,137,117,35,115,18,120,150,121,96,55,103,130,118,24,63,21,61,134
46,74,35,16,29,109,42,174,179,64,70,108,140,141,32,54,156,125,128
140,67,26,44,139,108,7,70,147,134,83,30,141,95,170,176,145,22,151
100,50,18,61,35,5,167,150,22,27,132,45,88,179,28,59,120,8,141
6,110,13,121,78,22,12,2,62,55,27,58,8,171,111,119,172,93,9
162,53,77,66,30,107,165,128,13,150,142,17,84,10,155,179,113,124,143
112,170,130,143,103,63,37,168,72,2,94,95,116,122,138,79,157,44,58
19,135,176,153,17,169,57,121,92,98,110,163,84,119,133,40,79,24,59
121,149,21,125,68,38,144,97,162,156,42,87,153,67,9,91,10,49,23
94,117,58,169,137,170,88,120,19,24,6,130,46,174,99,115,140,119,167
173,135,175,126,7,77,156,114,119,23,28,42,83,100,136,101,112,40,171
82,167,5,134,166,138,16,171,129,25,68,46,103,91,175,8,24,32,70
173,29,131,152,155,81,69,13,167,103,58,56,51,24,21,119,113,63,44
173,70,105,4,156,119,180,5,132,85,174,34,52,168,11,16,84,73,151
83,88,39,20,23,175,79,27,140,125,102,171,31,33,78,41,131,48,5
119,54,94,83,36,49,111,14,62,17,104,176,69,105,18,136,20,32,115
179,114,57,21,64,52,117,13,136,71,67,14,28,112,11,56,135,142,92
62,106,145,44,61,21,67,161,121,172,91,149,117,99,132,112,178,122,137
63,77,88,104,109,31,143,49,67,82,98,60,96,29,44,180,47,99,145
148,179,87,50,83,37,160,76,91,78,16,118,174,67,132,79,147,176,154
131,10,86,176,44,97,95,39,179,74,20,141,133,11,31,12,143,21,125
74,17,9,129,24,171,163,84,127,172,85,108,15,40,137,33,138,28,11
78,120,128,64,77,85,109,72,91,99,21,98,154,166,75,123,5,113,86
77,145,142,122,130,135,170,82,103,38,98,80,116,9,17,133,84,151,134
35,60,154,132,175,79,177,163,121,56,53,65,102,68,141,94,178,28,38
9,125,62,108,144,69,68,35,77,118,36,120,173,114,21,19,34,43,139
88,148,104,54,122,87,146,145,179,173,89,52,59,152,25,138,73,96,76
130,14,27,23,116,165,13,108,38,82,117,72,6,59,169,145,160,33,141
64,160,42,45,163,66,108,98,18,134,79,93,168,149,155,30,65,33,92
122,93,36,172,124,48,79,9,8,74,32,85,153,118,126,159,67,109,165
176,8,148,157,91,24,151,101,136,141,37,3,75,98,47,14,113,125,64
162,22,154,120,157,43,116,171,4,172,57,29,82,85,92,144,168,102,93
59,37,88,132,176,136,91,85,19,54,61,129,28,101,76,139,77,53,83
60,102,65,47,35,176,135,151,59,63,27,140,17,16,85,79,120,93,116
169,86,99,96,124,179,58,9,132,84,55,41,64,134,155,43,12,87,7
118,93,82,10,145,155,100,102,133,57,179,16,161,77,75,167,141,46,106
24,149,85,71,133,52,148,70,97,2,138,42,117,155,161,8,114,74,166
179,38,113,99,50,18,131,148,36,86,152,46,84,51,7,163,63,43,89
3,105,39,80,57,101,109,44,140,90,115,171,151,136,144,126,25,49,106
100,173,34,45,168,121,78,119,54,83,66,115,95,28,138,38,15,85,46
136,53,131,40,3,47,100,90,37,101,162,24,105,137,96,106,71,57,43
38,156,147,26,56,127,152,15,48,159,2,146,33,16,7,54,63,168,171
90,101,108,175,107,163,40,60,3,105,16,179,80,141,25,93,73,38,106
151,120,31,64,83,121,144,61,104,11,168,154,52,179,126,170,68,58,156
154,65,126,74,30,67,139,175,47,14,133,15,58,42,2,53,161,63,3
11,132,129,120,145,106,20,146,171,165,142,160,56,166,44,150,85,30,114
