"V1","V2"
57,130
18,180
171,179
125,7
21,69
148,63
45,5
23,71
9,66
101,162
105,132
36,132
113,86
6,26
68,141
71,179
18,153
176,82
93,129
24,69
49,42
165,66
43,53
100,36
156,98
70,125
156,113
107,56
14,136
75,157
112,176
88,90
172,55
38,117
56,86
76,106
101,115
148,100
4,11
176,166
164,160
110,77
115,176
149,55
162,65
143,5
146,180
49,168
72,134
176,59
85,104
41,10
6,23
71,167
67,58
105,152
24,52
130,165
45,10
51,113
79,166
102,37
119,139
134,129
74,161
152,49
21,52
35,58
20,174
114,94
11,132
125,86
82,90
158,6
62,39
108,16
52,39
101,52
40,34
56,95
132,43
91,128
177,103
88,17
138,122
23,65
145,54
33,25
14,33
16,46
5,77
165,168
38,94
83,29
131,86
63,51
81,41
179,61
72,3
178,174
