"V1","V2","V3"
121,111,180
141,118,38
178,72,30
63,104,9
24,162,110
16,82,29
47,115,34
54,48,69
89,51,30
23,54,104
44,4,56
169,102,135
23,14,58
62,177,75
92,66,72
178,125,28
38,79,81
109,82,49
8,96,120
168,17,135
49,31,35
69,168,50
48,164,52
56,45,72
120,165,89
145,3,93
74,134,151
126,36,128
161,107,110
53,32,113
81,145,48
71,8,154
21,31,135
120,73,124
44,6,83
125,116,100
178,173,117
18,111,120
47,67,25
140,70,76
21,8,61
114,91,168
99,102,95
161,76,102
55,23,104
39,74,29
162,92,24
50,175,17
160,103,177
100,16,122
88,170,106
28,13,42
6,121,8
176,72,84
176,154,61
28,128,78
162,106,6
109,115,90
26,39,8
135,138,164
151,36,152
129,23,171
24,48,86
118,75,8
134,57,117
7,98,15
74,8,17
60,155,99
128,64,91
176,42,179
142,93,173
107,4,126
89,13,131
136,62,34
74,113,110
179,158,178
153,174,80
170,149,164
78,6,97
88,143,120
54,10,180
113,24,51
153,130,127
160,50,134
21,165,102
141,39,133
68,71,5
153,78,89
55,51,29
136,3,88
118,59,169
139,149,177
114,68,39
133,175,132
153,69,51
93,136,94
39,88,64
158,54,5
148,102,37
82,133,5
