"V1","V2","V3","V4","V5","V6","V7"
145,34,76,80,112,74,17
160,6,141,94,84,90,102
143,48,174,147,146,2,159
99,147,143,176,26,6,17
159,77,31,32,170,176,48
137,60,55,86,79,26,74
121,93,15,106,71,31,42
109,98,15,154,26,121,11
22,38,65,174,133,111,55
43,100,21,46,47,134,60
20,103,40,3,122,104,57
63,69,72,70,121,139,4
15,176,53,144,114,14,73
58,20,118,15,103,102,2
70,180,63,27,109,107,157
83,32,67,84,57,179,19
119,100,38,104,44,157,170
80,85,58,162,143,179,172
58,54,89,87,113,115,117
57,176,39,13,83,169,91
140,55,144,159,26,151,49
65,56,132,145,49,103,147
118,27,120,11,167,88,142
177,54,87,45,175,122,26
96,68,154,78,168,92,57
180,115,104,28,9,17,101
173,133,48,10,52,2,101
7,18,9,138,58,144,178
129,35,107,174,21,171,25
30,83,140,112,118,131,179
86,67,31,166,62,65,57
83,153,180,140,21,154,177
122,43,121,38,31,96,149
97,140,34,157,55,13,60
160,92,59,145,39,22,70
49,10,155,114,103,162,110
166,67,58,26,109,42,110
132,47,160,83,5,152,11
72,37,109,103,131,124,178
34,165,18,8,13,82,42
171,87,14,41,90,3,176
67,172,96,129,82,66,59
177,5,111,110,107,95,71
82,11,4,132,18,92,101
117,80,82,73,149,57,19
145,169,176,111,89,12,121
140,65,108,178,130,90,18
49,51,140,77,164,79,54
159,135,141,10,37,76,32
64,5,120,132,166,103,117
125,71,177,127,133,112,124
107,43,102,130,157,76,129
24,126,176,117,64,10,28
116,29,160,139,57,2,130
54,58,148,125,174,51,78
130,59,9,104,152,143,29
124,79,139,53,138,28,32
107,16,101,147,10,160,93
127,156,93,8,20,16,180
180,108,71,131,158,174,69
143,67,49,94,19,103,169
96,53,40,143,158,69,83
65,38,72,88,107,34,109
49,83,9,143,19,108,28
172,21,70,112,27,18,150
30,21,83,134,117,43,57
66,180,16,132,53,164,176
90,84,101,100,112,107,32
172,71,105,134,138,3,70
103,124,56,29,172,60,167
92,22,14,180,94,6,37
85,55,157,103,12,60,131
133,145,96,48,13,112,161
27,165,16,65,91,84,30
129,83,11,14,18,34,154
40,13,8,174,48,71,135
10,151,119,69,82,55,26
119,13,30,155,104,83,101
122,60,83,119,151,82,174
65,139,173,119,77,72,135
58,78,102,87,81,125,178
122,25,62,66,64,160,49
144,154,20,139,79,56,22
6,105,18,71,48,60,93
103,55,13,158,27,35,126
47,21,144,93,31,8,91
119,73,24,2,58,44,87
112,117,41,160,68,24,4
3,8,157,50,159,149,132
133,87,7,172,83,97,109
176,98,72,15,177,109,157
5,77,88,39,91,176,117
133,31,116,169,29,129,47
15,157,106,43,39,171,37
33,146,36,13,128,157,154
37,140,35,116,152,85,61
77,55,53,78,111,118,102
47,71,93,118,51,151,149
60,92,163,20,98,176,164
9,68,13,177,170,155,47
