"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
158,117,132,56,146,51,49,91,116,7
154,140,135,71,16,109,53,30,34,180
30,177,26,79,151,114,144,153,148,76
165,122,163,34,43,26,83,170,175,71
123,65,129,24,38,8,27,180,25,167
29,89,104,154,88,30,166,119,116,15
91,115,92,133,7,146,154,52,71,175
86,106,53,90,157,124,171,23,75,167
108,171,26,137,94,2,135,100,17,62
128,107,126,4,167,116,90,111,145,25
90,69,47,5,84,117,24,73,138,94
11,102,40,112,121,169,157,115,48,82
113,46,21,179,156,151,51,144,180,11
144,53,178,39,35,160,44,168,55,122
140,113,175,21,176,34,129,157,151,37
82,163,69,155,3,93,153,108,35,71
92,171,48,8,101,157,73,74,32,56
64,122,65,146,179,143,2,3,9,124
126,98,178,26,42,45,141,23,145,143
109,82,161,152,178,167,108,27,120,107
61,165,162,66,34,103,106,8,49,111
7,42,25,62,84,80,115,61,55,108
164,50,131,72,10,71,143,154,163,125
152,134,22,176,84,10,136,115,162,108
47,175,68,144,11,102,31,21,33,159
136,168,74,24,116,152,34,111,72,103
19,52,155,90,92,48,14,4,169,179
131,160,145,32,149,93,180,44,35,155
28,144,124,145,121,112,33,150,59,153
150,3,113,141,102,80,64,82,136,21
114,163,54,9,23,79,173,68,72,80
180,101,75,80,139,39,18,132,35,170
147,159,59,87,6,53,128,21,102,34
138,158,80,67,94,149,91,12,177,74
103,56,17,179,162,89,60,51,61,116
43,178,100,108,2,119,153,171,9,91
174,98,171,28,138,61,154,104,71,94
106,81,127,71,24,154,75,15,163,7
103,121,122,118,111,106,73,136,81,129
93,98,92,102,40,141,84,179,138,86
120,160,166,73,58,62,57,95,16,43
40,29,111,45,164,56,139,16,136,97
60,27,104,141,153,120,92,125,124,122
144,106,73,89,174,137,84,86,116,58
134,10,95,48,70,17,106,6,88,96
156,148,143,164,6,50,86,136,77,112
156,109,68,78,130,38,168,31,46,37
65,167,82,40,85,80,172,45,76,119
94,25,76,31,84,106,104,49,144,168
4,98,57,136,52,112,40,129,81,154
144,157,32,169,47,70,147,12,138,135
98,6,28,164,19,45,97,118,41,23
148,107,160,120,84,22,140,3,104,35
9,70,159,41,10,59,82,81,60,30
129,67,159,128,95,180,170,30,19,118
135,144,29,31,23,62,151,27,13,163
136,63,16,173,38,125,67,25,140,61
112,14,40,33,109,67,34,37,74,174
139,102,46,106,96,68,72,89,128,66
177,154,25,169,170,173,147,27,57,88
150,141,94,60,129,11,64,139,93,118
43,14,79,115,31,81,169,24,170,80
117,40,69,110,142,140,85,7,165,105
149,18,167,70,91,88,94,176,16,136
122,64,77,88,79,57,63,109,125,114
162,65,114,81,32,137,146,46,85,104
145,69,107,28,127,9,76,62,50,110
102,69,130,55,88,148,118,10,142,180
94,32,179,64,113,162,143,122,156,60
114,36,165,177,133,85,84,22,95,167
11,67,41,89,55,130,29,177,170,111
15,45,21,117,124,128,30,112,63,82
148,4,7,135,178,56,70,166,80,100
144,164,60,46,39,177,62,42,162,120
122,72,74,44,81,115,132,141,152,22
141,54,5,154,118,17,43,58,64,47
145,4,118,179,57,147,158,100,58,53
57,2,43,162,78,168,38,32,25,135
33,70,14,133,136,158,124,11,20,172
113,143,45,120,10,102,156,147,171,66
172,57,61,82,75,31,124,54,115,60
59,124,152,75,35,53,149,105,69,111
133,115,139,117,42,159,170,17,28,29
88,52,96,141,32,105,43,80,63,25
159,38,99,61,163,160,48,81,114,49
115,38,104,18,63,54,101,86,179,144
178,43,78,35,34,9,29,10,92,160
43,5,15,138,105,14,173,150,48,22
45,173,29,59,140,122,135,94,164,42
89,147,137,54,164,55,27,18,79,2
135,159,172,134,92,63,177,118,13,59
108,11,142,34,129,25,13,179,128,141
86,102,142,15,52,9,14,154,33,92
84,143,46,11,85,90,112,120,99,128
75,111,52,92,172,163,153,161,146,137
121,49,59,154,158,175,123,54,90,7
162,55,128,142,17,170,25,113,73,65
31,40,58,10,104,82,145,74,150,140
83,159,38,114,97,40,47,67,142,141
79,80,57,124,69,99,105,131,128,20
