"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
16,106,165,144,120,14,150,151,121,105,136
44,91,161,99,40,132,76,8,163,84,90
53,72,31,129,137,134,153,11,24,128,73
29,143,84,89,49,149,169,43,180,36,63
135,40,131,105,3,5,7,152,35,23,178
101,55,170,83,18,140,73,69,100,139,67
82,88,117,129,133,89,102,92,177,69,94
180,76,81,98,113,124,131,91,122,38,66
104,101,74,147,84,53,143,174,96,169,140
122,62,14,87,127,149,7,82,5,136,167
160,97,17,147,127,154,31,161,124,75,11
25,81,117,45,50,128,133,123,180,157,96
153,87,76,82,115,10,139,29,143,18,162
105,82,73,139,85,31,70,100,10,33,103
112,86,38,100,85,37,99,78,172,113,152
28,135,150,144,3,32,129,64,44,97,72
158,82,40,152,74,100,58,16,134,177,176
74,78,22,174,117,25,144,30,151,100,65
135,173,128,89,179,31,94,81,7,103,126
55,146,8,161,115,16,126,76,169,67,85
111,42,50,137,43,30,86,74,96,112,90
136,174,154,8,51,170,112,97,11,102,138
5,130,34,113,50,26,174,128,140,62,21
133,93,106,122,159,137,142,74,101,6,108
153,137,106,158,75,58,96,169,143,57,138
130,35,15,54,105,67,134,131,168,100,140
12,107,81,17,73,159,108,118,139,71,2
25,180,166,167,30,53,12,175,130,177,13
114,59,85,106,21,132,82,135,27,37,136
168,132,43,154,143,140,85,52,22,100,135
3,84,56,28,8,26,12,66,70,131,79
112,56,94,80,67,140,84,41,81,155,129
140,27,151,100,41,156,179,63,180,44,135
24,180,78,91,178,38,14,108,163,87,11
28,10,95,173,56,83,4,21,110,141,80
33,115,38,65,44,45,122,78,32,109,161
143,20,172,42,75,76,15,7,8,77,116
46,171,63,158,16,50,175,161,119,81,9
139,59,52,157,31,60,65,155,36,105,56
40,36,179,128,115,120,9,61,112,34,56
130,179,2,77,140,167,5,12,26,128,96
172,146,105,10,161,70,21,27,54,99,175
68,80,82,55,156,64,106,16,142,168,43
57,5,133,7,162,102,154,25,123,39,88
105,171,111,87,127,95,110,74,163,68,15
149,95,23,113,19,177,179,178,32,160,40
147,114,106,3,51,109,22,100,67,144,130
167,111,97,121,126,7,56,134,5,173,82
109,47,75,160,138,68,151,127,39,99,125
177,150,138,142,93,172,64,121,30,60,80
119,25,112,154,163,121,48,88,56,152,57
138,142,120,60,92,154,111,62,4,102,133
174,162,37,109,64,106,150,27,145,117,121
131,180,72,19,165,174,163,125,55,16,30
69,137,165,83,107,89,86,36,45,21,145
39,166,155,10,60,31,65,51,49,72,90
173,160,57,26,73,24,81,108,100,68,118
85,153,16,13,167,133,67,30,60,3,173
41,80,12,29,73,34,180,38,115,70,167
58,167,62,139,168,20,60,38,118,152,37
174,44,58,176,149,48,105,57,69,173,2
70,99,114,78,26,33,174,89,100,164,168
139,66,41,101,161,36,167,90,102,153,70
169,41,99,108,77,62,67,5,4,36,139
91,94,178,133,29,142,42,158,166,38,162
95,120,86,66,179,71,17,22,94,162,57
107,173,120,66,169,3,40,16,112,137,129
27,83,92,30,25,53,40,129,65,149,89
67,169,126,82,9,134,178,46,150,101,16
8,94,65,108,130,81,77,5,107,28,19
122,180,46,102,143,149,153,58,80,44,166
105,177,81,150,115,119,22,14,146,129,67
166,77,41,20,31,84,157,17,44,74,159
125,109,75,13,100,67,178,68,149,173,79
135,119,32,14,158,12,170,89,121,105,49
64,22,21,7,164,47,107,106,131,33,159
85,78,152,34,76,53,109,54,50,115,101
150,69,17,51,113,95,39,110,23,178,121
150,112,55,137,153,4,92,129,140,96,147
131,37,128,69,46,49,155,163,38,99,180
119,90,76,57,75,63,32,18,34,100,135
69,108,48,150,79,16,171,152,12,172,32
155,61,79,22,101,169,180,42,51,116,98
114,43,40,86,175,131,171,3,80,26,176
176,55,56,159,146,92,162,65,165,39,109
133,144,148,165,160,35,99,142,75,22,106
49,53,121,85,70,31,163,44,119,72,148
123,70,171,146,18,69,80,20,77,177,96
60,131,133,48,89,180,22,79,44,105,77
49,112,79,12,117,3,164,8,7,64,118
51,2,80,112,36,168,154,178,137,148,32
162,128,29,127,55,124,99,42,45,78,94
146,62,20,140,119,9,160,23,165,49,10
110,142,32,138,145,157,34,52,60,6,69
164,139,156,100,178,84,117,12,147,88,103
53,140,124,129,24,15,109,142,154,168,74
127,87,143,55,146,121,75,27,17,53,45
46,158,29,172,44,104,143,50,78,74,145
45,113,139,169,29,115,37,178,76,110,15
131,156,148,96,8,38,78,91,74,17,124
