"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
111,155,81,50,93,124,92,73,55,90,174,9
117,74,41,61,105,16,5,56,122,29,93,178
104,68,17,169,73,19,83,145,49,94,108,165
164,107,28,102,135,120,30,78,172,153,138,157
55,69,35,39,112,163,83,158,120,140,180,168
143,21,74,34,176,58,57,72,140,2,129,5
111,39,87,68,175,89,141,25,45,47,72,38
68,62,39,89,148,172,80,57,95,150,136,29
35,34,30,60,96,92,85,147,17,74,115,87
119,21,129,179,44,84,55,70,10,75,39,87
64,65,68,18,37,89,81,15,36,103,44,66
46,85,114,136,118,150,87,4,64,172,101,99
60,107,8,35,33,168,76,176,55,133,67,3
85,65,127,28,94,161,111,129,175,40,6,18
36,9,114,128,42,148,108,82,122,22,28,54
171,135,60,155,100,12,96,102,146,47,45,32
128,89,31,64,79,56,141,115,147,138,26,92
131,117,30,38,173,68,85,84,95,63,25,107
105,90,74,171,4,104,100,80,118,30,103,50
96,41,150,61,40,71,74,151,152,115,88,164
47,141,110,116,146,94,61,8,43,54,32,89
90,8,121,3,129,163,20,109,86,99,74,87
178,114,130,174,28,79,82,68,47,140,156,167
62,42,141,89,143,87,52,136,138,172,148,96
90,170,154,164,68,93,97,39,57,26,100,4
40,160,173,64,21,131,112,89,133,61,124,12
86,19,155,111,2,138,20,60,175,84,78,74
76,50,4,106,125,151,82,134,102,30,17,91
134,144,121,150,66,61,62,113,15,152,50,79
132,150,40,93,125,129,171,87,96,37,10,103
22,43,60,171,100,114,166,122,156,75,170,87
61,40,21,48,94,89,121,168,127,6,2,148
123,132,47,83,122,3,51,17,9,105,84,29
91,65,81,51,175,79,114,106,171,97,109,93
81,145,105,82,132,12,100,90,161,148,164,11
40,139,165,30,124,72,45,113,155,13,56,111
114,133,26,60,50,90,105,131,173,121,157,99
156,66,61,125,20,36,77,122,100,95,157,143
117,84,58,73,85,179,3,141,47,166,142,81
101,165,163,108,152,29,25,31,96,107,40,175
87,41,159,116,138,174,95,134,155,76,140,11
50,45,151,168,118,7,21,13,174,3,115,105
80,18,165,42,44,117,81,53,45,46,107,161
87,157,44,77,165,74,136,34,166,39,126,99
152,131,138,153,55,66,148,168,49,108,86,70
69,84,47,174,142,55,32,154,25,148,74,119
51,144,53,21,72,18,20,4,68,83,75,3
130,114,98,31,39,55,2,62,81,26,122,36
155,123,17,37,19,38,28,97,94,7,30,45
45,23,168,131,161,130,44,41,78,30,15,60
67,162,172,75,131,123,55,95,93,68,14,143
180,86,58,100,94,179,106,61,64,156,13,152
9,47,45,74,46,131,125,105,172,41,120,76
83,106,80,84,99,60,16,72,134,34,171,164
136,89,84,14,150,171,8,135,17,6,139,97
90,132,20,23,149,153,35,53,50,52,9,16
7,84,42,11,98,127,24,103,49,76,111,4
69,93,73,130,144,148,151,168,108,2,141,156
28,79,46,95,63,21,94,134,154,11,150,148
130,68,144,146,112,126,6,54,36,72,128,169
76,113,62,135,77,9,97,11,53,93,160,156
29,5,2,132,118,24,75,101,159,82,15,143
86,149,19,176,90,43,114,37,165,12,57,141
118,107,26,46,116,72,160,31,101,55,122,178
41,139,106,23,53,166,97,173,66,2,17,118
162,117,132,147,5,94,130,155,123,153,88,136
22,74,26,180,45,87,149,33,25,58,50,124
161,50,138,44,119,140,105,125,78,82,18,110
34,97,106,178,39,78,46,160,25,71,100,102
178,46,88,11,65,145,122,32,179,180,139,53
23,119,112,169,110,111,74,22,160,141,130,151
71,49,153,65,134,162,131,144,154,31,168,8
90,140,113,70,128,31,54,111,150,103,94,76
89,53,176,140,3,119,27,111,64,138,132,9
36,17,13,99,26,45,60,47,21,171,161,178
78,117,66,73,30,27,90,141,51,74,179,34
160,121,165,142,145,19,21,29,45,180,26,115
87,18,88,59,156,123,11,111,80,141,173,131
68,153,71,117,37,72,34,86,81,69,58,172
42,127,170,149,68,19,64,65,134,138,34,53
135,124,177,68,40,86,152,32,23,24,88,59
60,75,85,96,52,8,179,64,66,154,110,70
3,138,133,151,142,39,110,179,180,59,118,51
12,135,90,84,33,14,109,79,5,86,141,166
36,150,117,171,19,6,120,2,12,101,25,122
135,66,94,12,16,64,125,146,67,8,22,78
125,130,15,111,19,156,95,30,14,61,81,171
117,174,90,146,100,92,157,66,156,175,93,143
62,116,34,130,97,111,28,131,154,162,180,10
89,105,47,101,110,125,140,14,162,23,99,175
79,21,18,124,95,37,163,111,146,170,73,174
141,104,168,146,117,142,50,176,74,139,62,125
37,113,32,115,161,150,8,35,73,70,63,163
115,72,5,154,65,128,89,13,4,125,117,31
162,24,157,10,48,135,23,175,152,13,35,158
170,132,166,47,81,42,152,91,71,80,28,54
84,65,115,26,21,139,95,28,125,15,155,131
105,52,30,116,114,70,137,61,162,146,102,9
109,18,138,124,45,142,128,28,86,161,58,19
139,25,77,69,97,156,67,148,104,70,34,27
