"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
32,41,19,66,39,173,5,168,152,133,109,13,11,31
88,10,152,175,109,54,144,59,106,21,164,49,141,126
143,166,67,35,52,162,17,25,145,76,105,58,121,45
3,97,174,179,142,113,49,147,135,5,82,50,139,28
132,144,18,48,175,174,117,137,178,47,107,166,116,49
26,17,43,23,100,173,28,15,70,88,94,176,128,134
90,114,100,66,12,138,54,76,180,117,133,22,151,80
88,167,156,115,143,64,15,162,63,152,119,138,68,11
36,25,104,173,27,41,126,60,156,80,174,128,142,11
127,153,29,32,44,142,131,163,96,34,82,53,89,94
173,119,42,68,102,78,50,150,169,172,146,30,87,22
3,47,121,19,116,68,177,112,135,2,21,153,140,107
179,156,111,5,132,39,54,58,85,25,135,147,138,95
80,9,74,119,159,21,60,82,72,75,161,10,96,69
126,106,161,30,99,27,7,153,154,176,45,65,174,82
60,61,17,26,161,13,25,84,53,138,54,48,156,123
153,93,129,22,75,117,91,81,149,133,52,138,150,15
4,167,101,15,49,141,96,169,175,44,156,75,130,79
110,23,27,159,22,53,170,171,76,154,67,142,85,173
117,79,24,143,174,153,73,166,167,4,108,120,90,16
8,22,117,147,96,14,124,103,16,62,7,168,33,70
170,165,12,69,111,101,68,26,81,6,92,49,77,171
56,171,147,112,105,46,167,177,144,60,72,140,12,172
159,128,61,32,7,104,71,34,119,155,156,131,135,27
55,9,63,173,166,79,111,104,10,154,14,37,35,177
101,161,136,119,46,170,67,139,98,4,72,174,89,112
83,94,180,51,17,169,25,124,48,102,104,84,121,156
149,65,34,151,24,162,123,18,84,64,80,99,56,172
38,126,139,34,54,29,86,64,44,85,82,142,62,158
107,40,25,130,43,85,41,112,37,98,113,179,55,143
36,102,166,162,131,94,119,60,27,52,47,28,125,75
10,170,99,62,131,172,25,129,2,144,155,138,50,123
128,78,19,106,96,58,12,101,123,67,7,39,138,84
109,47,36,38,55,16,15,2,139,70,125,34,157,165
99,124,63,83,72,86,51,121,133,163,92,80,82,61
52,69,157,53,91,35,34,104,121,115,102,90,178,129
148,34,145,100,56,138,99,4,15,111,163,137,69,135
157,67,69,56,64,145,171,3,54,7,152,78,18,61
136,135,98,177,153,46,93,65,14,79,112,116,138,15
155,119,4,70,69,149,172,86,145,136,19,11,158,15
133,80,59,134,110,58,62,28,103,46,155,121,170,33
61,138,90,107,10,62,24,133,170,85,42,58,114,92
144,5,37,102,104,113,116,29,67,72,159,129,50,132
3,53,74,137,108,13,161,27,71,10,66,131,82,12
123,64,41,167,14,156,7,130,128,88,137,174,16,155
22,72,57,106,135,90,55,78,16,75,127,136,124,144
71,6,64,163,44,37,177,86,144,94,167,151,136,145
20,158,114,103,85,32,138,4,124,116,39,173,91,55
57,12,32,158,174,150,107,162,139,59,50,102,80,4
73,165,132,87,102,158,113,100,167,22,60,164,134,175
64,178,16,36,31,5,179,106,92,176,132,60,140,74
151,134,178,37,43,13,157,160,111,131,155,102,91,137
162,69,42,17,110,43,115,6,133,16,91,97,84,146
25,39,116,7,23,162,137,126,179,118,79,35,13,106
51,101,47,154,137,125,84,72,102,46,44,86,8,35
82,99,11,96,170,162,13,58,108,29,109,85,39,179
61,60,3,128,174,92,56,90,32,26,22,159,160,126
141,160,33,178,27,78,56,77,72,138,41,47,112,23
86,166,16,109,67,51,93,85,106,145,158,4,87,174
54,5,77,95,41,58,123,137,4,178,2,125,34,21
180,103,130,115,110,126,12,70,176,173,156,8,61,174
31,9,62,90,180,12,79,161,41,115,110,63,65,94
5,176,25,107,40,12,103,62,127,27,94,71,162,11
161,39,108,67,154,121,167,98,177,180,40,132,71,162
120,131,75,74,10,84,171,61,13,153,144,125,64,116
142,138,31,125,144,68,145,69,78,84,40,60,28,172
170,116,39,19,30,94,120,129,28,144,29,130,62,5
83,54,32,12,119,108,49,64,153,73,35,166,28,43
155,175,19,84,153,171,53,160,3,165,146,80,9,173
50,139,108,94,145,34,169,48,33,130,39,138,71,164
39,34,114,68,64,136,117,42,127,8,70,133,93,66
116,107,132,67,127,82,160,45,52,113,146,83,128,119
50,165,62,114,5,64,154,81,146,158,59,67,35,71
9,170,154,8,125,144,113,36,115,161,78,151,82,35
113,160,58,28,169,18,165,146,79,57,180,153,162,6
74,143,139,148,133,30,65,27,16,36,76,103,165,10
110,104,167,163,141,6,79,168,179,64,29,9,164,113
82,172,98,127,6,105,109,52,39,154,81,9,140,90
125,70,61,173,158,86,38,17,77,101,148,89,52,146
136,157,46,34,140,171,58,28,163,94,98,122,7,113
140,93,156,142,148,178,172,137,165,90,64,145,51,149
171,97,66,120,123,147,163,160,84,159,11,70,156,135
81,136,159,89,13,24,28,69,68,85,37,128,150,139
32,70,159,79,13,141,77,153,143,88,5,146,125,29
168,126,139,152,128,169,81,53,100,12,164,135,109,71
105,149,98,179,166,84,23,132,68,40,169,159,71,142
64,170,126,36,18,166,105,121,35,58,25,15,141,139
28,178,170,122,180,9,4,96,43,35,18,49,85,73
176,125,117,111,44,173,87,102,98,73,37,75,114,23
66,40,22,104,138,15,125,17,123,110,133,148,113,37
38,80,23,131,68,177,143,142,5,86,52,178,125,16
99,101,39,12,67,158,66,53,15,161,128,112,163,108
43,169,174,65,59,138,84,69,166,56,61,178,2,117
18,168,25,153,19,179,24,107,56,79,89,10,27,162
161,58,179,115,69,145,121,2,68,60,37,83,56,24
113,139,48,101,134,59,37,153,45,7,158,61,58,169
8,59,100,99,58,84,53,79,143,67,177,93,24,92
74,144,127,45,116,137,26,110,111,18,35,138,115,157
107,101,53,11,99,5,88,115,57,140,62,37,32,82
