"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
77,123,93,117,175,167,135,27,88,78,67,132,3,73,72,28,90,163
67,152,176,4,25,62,64,124,166,2,80,91,174,142,8,48,47,93
161,85,73,58,150,84,101,78,39,91,117,70,22,119,10,111,76,21
180,110,159,41,40,88,52,151,3,127,92,67,50,97,170,129,174,23
164,26,180,153,104,171,22,159,75,55,57,27,38,175,47,17,105,67
114,41,142,51,164,31,27,3,92,169,127,97,73,28,36,151,2,6
146,103,147,17,86,11,150,105,79,123,164,41,139,169,52,64,57,108
150,37,168,65,78,123,87,94,158,75,15,82,170,172,115,126,176,47
175,126,147,34,6,52,58,167,123,157,129,81,76,169,170,46,136,93
163,57,158,84,148,159,168,145,149,4,12,5,62,29,41,39,40,107
133,51,127,86,176,103,95,13,108,96,97,139,34,71,94,22,144,88
173,172,31,143,73,12,126,65,13,63,153,175,100,38,132,171,22,30
38,147,24,49,140,179,77,21,9,130,121,178,41,72,79,85,13,91
84,103,117,129,132,91,115,164,77,119,54,2,17,153,70,122,169,29
66,163,180,16,59,166,147,119,56,89,179,115,173,138,14,92,62,84
81,23,123,166,93,131,91,157,115,22,51,146,80,143,5,57,55,160
26,24,177,127,150,75,115,128,137,19,57,63,68,144,169,36,21,120
167,60,16,179,166,177,6,46,153,69,98,107,76,113,144,163,74,129
176,101,56,149,99,126,114,65,152,2,117,58,24,48,165,61,33,164
35,129,173,41,62,127,83,149,107,7,170,79,63,86,132,74,42,39
49,12,89,45,122,20,141,83,161,143,170,174,44,7,90,15,11,52
27,73,92,144,9,110,111,140,175,97,16,53,48,42,74,128,177,165
110,58,105,126,88,145,109,131,2,139,121,23,166,160,59,84,39,49
73,77,28,141,119,105,5,103,7,44,51,155,64,78,35,106,60,17
28,74,5,8,48,163,35,146,160,32,86,154,82,23,17,65,12,98
15,126,55,81,40,120,2,112,178,164,121,107,32,101,7,33,5,137
124,13,179,125,2,136,22,60,170,59,88,152,33,72,147,150,142,71
175,80,32,21,56,10,45,87,154,128,168,117,161,78,43,49,51,172
78,97,122,80,56,11,7,10,164,109,179,36,155,107,4,68,153,34
32,93,125,92,90,30,88,81,142,107,132,78,155,100,16,84,53,133
37,132,90,145,41,99,17,139,175,84,71,58,163,79,170,142,95,85
157,177,176,167,132,34,130,44,13,88,128,72,54,113,16,180,107,98
114,167,6,29,5,115,98,2,113,46,96,127,42,86,51,91,153,125
179,59,169,42,93,162,56,110,171,13,41,158,175,151,57,71,156,33
148,34,51,152,115,2,67,31,30,123,63,41,125,61,13,7,97,100
18,71,151,60,154,94,138,17,121,103,79,90,69,70,170,159,45,29
56,74,134,103,168,89,99,2,22,57,34,160,62,17,3,161,38,114
49,33,179,159,2,93,113,21,35,88,96,134,132,75,129,133,131,81
173,169,62,92,55,31,126,106,95,120,137,179,34,111,26,60,94,180
9,133,100,97,79,41,158,109,72,58,22,28,119,154,69,15,82,46
111,13,59,6,67,169,131,70,52,32,90,141,127,147,63,80,151,76
44,49,45,124,31,6,150,177,132,117,58,108,153,97,96,72,131,139
10,136,166,127,39,49,149,88,53,62,163,22,98,71,93,135,82,26
165,14,25,30,54,140,66,168,68,149,153,74,31,99,96,115,173,93
82,39,51,85,52,108,50,18,158,99,53,20,37,29,155,56,130,89
121,27,120,37,170,158,29,31,114,21,119,126,81,70,94,3,92,77
25,58,76,11,66,46,125,73,137,55,160,24,136,39,41,178,13,68
44,159,30,170,127,43,164,49,174,124,14,32,175,141,148,11,87,56
133,56,147,107,153,138,94,97,154,106,36,67,98,160,73,83,27,135
162,95,154,57,166,130,142,165,140,64,46,36,173,114,172,27,19,26
152,115,24,173,132,56,111,104,126,49,102,177,83,38,18,138,77,180
115,161,21,65,173,70,122,74,132,131,49,111,80,113,155,176,179,4
50,147,80,99,60,76,20,86,7,75,67,69,125,128,149,84,175,24
141,14,146,151,158,119,47,155,6,160,53,11,94,142,75,161,93,113
55,69,56,57,92,116,81,49,135,43,145,76,66,19,128,36,109,84
89,132,2,152,133,111,71,169,172,102,139,60,114,118,128,134,72,122
19,90,11,49,101,87,156,43,25,180,112,27,52,40,144,31,78,98
81,120,40,177,10,165,22,100,169,16,73,99,88,156,167,49,19,115
122,131,3,104,144,83,178,35,87,153,171,61,98,42,11,12,73,118
137,2,28,6,163,108,95,38,91,126,97,155,45,15,151,179,52,64
124,30,163,156,136,139,107,154,149,176,113,8,104,16,106,102,101,51
174,143,115,108,4,97,9,180,133,121,59,99,86,24,154,90,158,46
103,67,138,60,129,158,26,111,33,99,65,54,128,176,78,94,85,36
156,123,104,113,149,33,116,57,145,168,176,45,94,154,115,175,79,27
76,9,44,170,60,70,24,89,53,106,38,35,29,154,18,114,177,125
99,33,102,143,43,104,145,27,42,57,132,5,79,163,140,51,120,155
10,157,22,111,16,153,64,53,15,19,12,101,68,93,73,173,32,124
127,29,39,82,119,169,71,55,60,168,117,179,98,85,160,16,122,58
159,112,22,141,50,130,35,176,49,33,111,107,62,42,121,179,126,38
99,157,91,155,4,33,115,94,92,131,32,76,150,124,75,145,28,139
62,7,56,52,101,117,18,109,86,55,66,168,163,174,139,9,171,69
8,143,81,63,154,28,27,71,40,176,55,4,70,45,144,41,53,12
125,61,60,62,12,150,92,163,180,49,175,36,15,178,138,132,26,39
156,162,66,65,148,73,113,78,104,48,163,56,172,7,108,91,166,5
163,50,77,140,113,105,69,73,106,156,170,43,172,9,121,62,81,120
139,116,37,127,166,27,96,42,95,21,118,152,3,38,107,128,135,6
159,30,164,125,127,71,27,139,156,53,20,157,137,41,70,121,129,5
175,38,61,96,42,177,165,108,35,59,94,81,14,70,99,4,119,37
110,5,68,95,75,164,146,103,98,62,8,9,32,132,179,20,112,28
142,62,151,146,129,126,149,99,19,24,59,113,175,97,70,87,13,37
6,31,58,49,125,53,174,83,56,151,91,134,116,13,172,84,78,160
147,164,56,148,126,36,175,43,77,160,37,22,151,64,88,146,108,89
58,54,55,61,50,75,180,73,157,120,109,118,175,142,103,85,64,124
83,93,105,7,145,99,35,118,68,153,159,3,24,121,12,32,41,66
59,107,84,61,159,136,125,166,157,139,178,134,45,26,145,135,66,98
108,84,58,156,79,115,86,68,109,178,29,41,28,20,61,11,37,139
34,76,131,75,148,82,52,173,138,167,140,8,92,171,17,58,65,30
101,23,130,109,62,7,106,19,77,137,138,96,2,165,17,38,159,8
71,60,94,117,18,44,108,133,110,165,130,32,141,154,70,127,36,174
31,35,157,7,103,53,129,45,104,65,16,155,85,92,172,122,140,131
175,35,132,113,86,25,41,83,56,24,93,3,122,99,17,120,87,140
98,151,7,66,114,129,123,164,143,57,138,107,133,60,106,176,37,36
110,94,21,53,58,163,69,26,169,109,121,8,150,160,162,46,129,96
97,121,156,30,9,48,45,119,61,73,3,32,112,78,59,163,175,158
26,117,98,30,53,81,108,176,89,14,38,107,99,65,170,39,155,69
73,88,140,146,139,47,40,124,5,20,155,43,69,87,94,29,134,65
78,56,138,151,136,137,141,44,140,179,154,48,155,158,36,139,54,109
149,81,78,64,125,26,98,103,27,114,131,28,15,113,115,54,63,6
74,114,100,49,164,171,67,178,156,122,70,42,9,153,64,117,10,46
5,164,150,37,130,72,126,70,168,122,143,161,94,67,55,109,4,62
