"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
134,104,94,105,162,77,122,117,160,87,110,174,40,19,35,167,171,130,66
83,86,161,66,174,55,46,58,147,5,116,155,113,132,71,74,180,140,107
6,162,101,109,85,128,141,167,20,175,111,156,164,25,147,113,170,74,28
4,40,20,159,164,45,121,60,31,93,43,146,145,57,63,152,58,10,38
151,104,78,148,85,52,41,46,94,8,160,86,179,140,142,164,124,27,77
108,48,87,142,112,107,31,96,148,143,98,147,156,3,97,169,85,171,151
7,95,76,69,28,120,122,72,31,100,29,158,114,50,46,16,164,48,20
178,127,134,123,160,129,82,92,71,179,105,74,170,150,52,77,4,169,70
49,98,35,10,4,158,76,136,145,146,135,3,65,99,128,89,156,161,101
64,68,142,2,107,169,6,44,123,120,141,99,83,91,174,58,14,11,147
50,140,27,17,136,142,31,126,99,62,84,54,77,108,68,178,122,125,22
158,83,148,102,100,117,159,37,42,55,174,111,23,47,145,65,62,40,87
147,169,133,168,21,36,33,54,162,125,39,28,60,97,73,79,55,145,15
23,103,144,38,165,88,133,69,75,131,101,58,171,81,157,178,64,62,43
82,25,23,72,118,156,27,46,104,81,64,26,87,18,91,122,85,57,162
40,92,104,138,7,17,43,28,133,85,33,13,42,6,31,48,47,86,156
170,64,65,33,121,122,48,89,113,142,36,27,55,87,168,47,154,130,126
82,152,65,44,106,11,45,111,124,134,161,20,122,176,121,147,72,75,38
153,122,144,108,96,125,65,43,51,176,74,18,129,111,37,168,136,142,72
166,11,15,101,20,146,114,112,88,25,180,136,44,98,40,9,4,50,6
169,173,154,152,36,150,93,28,178,168,77,94,44,163,59,111,131,160,127
42,171,157,3,88,152,75,176,127,12,125,123,69,165,13,71,105,78,98
44,17,179,2,135,65,101,112,95,177,37,47,113,166,117,150,87,59,169
61,5,138,106,19,115,139,97,141,69,98,26,37,117,48,41,95,99,156
68,76,125,82,135,72,21,54,176,175,69,67,120,138,42,150,139,128,157
110,103,113,65,91,74,116,33,137,86,154,180,46,61,159,163,132,94,3
53,90,164,34,75,93,38,179,80,140,20,5,160,89,16,43,109,127,170
96,84,98,45,59,178,123,69,180,68,90,154,60,101,150,33,161,105,28
27,99,166,151,168,13,135,38,9,71,164,69,67,129,110,57,113,172,90
75,124,77,14,19,108,44,82,99,29,26,72,115,168,142,56,27,126,134
174,158,117,164,131,101,47,110,116,112,34,144,133,40,146,135,106,105,147
157,69,75,143,166,41,67,178,17,180,66,111,98,131,51,16,171,103,127
131,49,86,14,122,35,139,141,63,116,114,66,31,42,119,46,4,128,177
30,50,154,33,113,127,170,83,60,23,136,95,166,78,122,71,53,94,152
21,151,28,113,63,91,23,120,137,56,81,116,162,68,87,135,47,127,179
103,150,165,173,71,97,175,166,15,102,43,9,86,6,49,55,32,70,12
176,86,45,6,75,16,70,146,167,137,143,14,41,102,112,54,21,115,117
9,8,134,169,87,43,88,36,125,140,31,92,160,7,16,37,162,49,14
13,132,176,7,90,108,154,62,47,10,134,95,4,121,106,37,117,163,79
170,28,19,91,71,47,45,58,6,165,53,51,11,57,141,40,17,163,82
19,128,69,106,157,68,32,165,178,55,72,98,28,172,57,126,84,139,58
134,138,162,170,159,92,90,24,104,26,129,149,78,152,148,136,106,62,65
19,20,5,11,126,132,37,21,112,48,110,77,177,121,30,147,120,75,31
95,7,127,100,5,125,174,43,31,29,104,165,178,66,91,119,32,39,37
171,97,175,112,52,139,35,104,141,70,134,25,15,169,21,3,31,73,51
70,44,158,159,164,169,173,149,2,35,6,113,153,43,101,160,87,14,53
16,23,47,71,125,53,4,168,157,68,122,55,26,140,138,83,147,34,109
67,170,109,19,13,31,160,18,78,152,177,46,91,89,146,55,141,81,140
56,25,12,52,28,106,47,91,99,161,4,68,84,53,62,141,86,180,37
77,88,117,5,13,149,123,85,178,51,7,128,119,70,150,75,179,21,55
165,138,15,121,11,58,107,144,112,142,82,154,24,48,42,27,127,119,25
172,158,147,30,167,154,78,121,9,2,124,72,143,169,49,153,7,41,99
31,176,164,11,148,6,29,100,95,77,73,64,154,167,112,25,43,40,135
24,17,40,22,145,139,85,18,165,11,143,122,7,38,68,82,15,96,88
67,33,111,122,113,68,171,75,100,179,126,63,25,80,136,173,106,105,35
180,107,62,108,151,63,32,71,141,136,9,87,48,100,167,159,126,97,98
178,154,12,113,149,69,88,136,6,57,155,115,123,56,107,82,5,11,62
40,61,6,77,160,98,159,42,96,146,62,145,140,106,50,41,144,43,64
23,95,9,52,117,161,165,48,139,46,80,92,174,26,60,158,160,42,152
77,39,171,126,85,8,11,169,180,163,91,63,22,172,82,36,174,35,76
85,11,20,104,106,47,70,171,161,173,103,25,159,137,141,36,49,119,88
36,17,70,56,100,74,42,85,117,103,39,68,44,133,23,94,11,180,3
34,64,11,160,132,62,169,42,95,171,148,153,28,115,79,3,166,45,56
