"V1","V2"
44,76
58,134
134,165
40,54
21,37
64,99
27,28
78,117
164,150
141,78
93,51
157,40
6,64
149,61
147,61
149,32
34,122
176,56
54,74
20,147
49,35
140,158
67,62
113,64
13,155
141,89
74,31
104,56
51,126
14,11
38,135
26,139
54,92
5,22
41,30
52,117
150,111
137,124
139,62
2,149
171,152
123,46
165,18
104,92
93,150
98,154
178,123
113,141
176,127
44,90
56,161
113,135
109,110
137,43
71,27
49,84
13,58
169,162
57,43
10,81
101,123
145,151
96,9
162,102
76,56
13,87
80,117
128,10
29,87
102,49
22,19
47,11
72,174
80,83
37,103
12,88
109,178
172,126
144,86
169,157
123,15
137,23
81,63
155,161
26,169
58,123
68,86
168,60
24,41
109,47
8,147
116,60
176,21
98,123
76,2
31,174
50,69
106,45
169,145
137,145
