"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
35,53,163,178,104,127,145,12,160,133,44,50,51,128,130,132,143,110,134,148,172
96,77,131,84,173,26,25,114,98,54,72,118,109,30,40,176,20,156,76,147,102
151,172,68,90,153,7,107,180,59,63,67,164,177,166,3,157,119,131,103,74,16
108,94,71,24,103,113,60,16,15,109,153,132,167,123,5,84,74,144,42,14,81
52,32,177,71,135,139,105,83,77,66,9,128,70,161,109,126,85,170,5,110,152
123,8,74,94,7,106,100,92,169,25,37,102,16,3,11,90,31,146,4,89,55
35,23,119,14,107,83,34,167,10,139,150,157,146,164,68,61,44,112,104,143,3
100,110,120,115,65,90,144,156,25,133,15,167,39,177,138,141,11,28,51,109,2
69,102,58,51,3,47,84,10,110,130,90,118,177,103,108,175,81,165,138,43,142
163,151,11,66,150,144,59,148,149,46,125,156,166,110,80,60,139,167,171,103,36
76,34,43,89,74,83,66,120,60,134,21,118,127,94,6,92,71,35,122,17,132
97,117,63,121,62,59,32,58,165,21,140,81,82,53,110,18,40,88,147,94,16
3,56,161,84,34,18,180,112,88,63,126,26,108,165,33,143,131,14,153,117,45
60,159,38,67,162,152,70,134,36,5,25,32,74,29,120,140,128,174,105,121,85
127,86,129,6,75,13,68,91,90,15,156,113,5,106,169,27,124,155,152,26,111
26,41,61,80,160,17,53,167,92,38,29,46,79,121,82,11,176,71,141,127,18
142,18,92,148,38,39,60,46,146,130,128,52,89,65,23,153,152,17,121,15,47
89,66,158,27,53,161,95,64,85,42,153,52,162,93,8,90,168,164,91,137,98
120,151,93,79,170,37,111,9,77,8,5,178,125,90,27,42,70,13,142,40,156
144,92,137,130,95,153,33,17,69,111,13,51,176,57,120,116,171,68,145,147,174
140,76,144,113,65,99,29,104,156,44,93,45,169,149,107,157,53,62,12,84,88
152,177,42,104,163,13,58,21,96,166,67,52,91,2,131,46,81,74,171,125,145
66,133,85,12,80,162,99,152,39,96,56,145,10,62,17,120,142,125,60,18,92
169,136,70,60,25,98,178,180,144,108,157,175,4,39,154,28,120,3,76,38,112
91,111,150,5,169,58,143,154,57,55,52,72,122,132,11,125,176,53,50,37,170
47,53,174,138,85,61,68,37,166,95,165,5,39,130,125,36,146,120,133,107,58
143,120,130,180,115,151,111,103,49,33,66,146,171,122,47,54,34,136,15,102,169
