"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
83,26,154,31,141,85,123,126,12,57,134,91,30,23,103,82,132,98,127,17,69,158,172
106,125,94,164,54,24,38,171,180,131,5,143,149,47,165,8,73,172,98,35,42,132,150
30,122,163,43,45,86,145,104,23,138,60,53,141,134,157,106,115,117,18,64,171,4,99
107,69,24,119,120,161,56,22,172,179,176,101,11,174,9,26,33,15,88,5,165,52,170
71,69,178,163,44,117,80,99,77,43,146,126,139,19,134,48,129,26,164,16,143,2,61
175,65,20,166,117,76,77,19,29,87,6,162,13,71,17,94,107,79,70,141,60,45,163
180,26,107,166,142,85,60,13,63,156,75,49,108,150,155,94,77,114,160,147,174,59,29
140,39,124,15,146,86,147,11,104,109,51,62,131,73,26,107,78,102,2,14,170,127,45
155,16,154,33,88,41,77,45,20,59,98,7,150,113,131,19,76,136,138,71,17,43,2
116,60,168,122,16,4,6,69,22,86,119,38,12,11,40,92,78,149,15,126,115,128,85
102,14,103,150,86,156,62,67,49,168,154,36,95,94,69,162,127,131,120,45,51,153,20
37,34,163,59,117,51,146,155,15,53,42,153,147,36,41,176,88,13,122,123,84,21,75
38,8,144,39,42,139,152,91,18,110,77,24,45,55,71,162,7,164,21,151,105,67,142
119,65,127,61,5,78,150,176,40,75,99,141,113,83,70,39,34,28,33,108,57,154,69
87,55,96,128,40,30,133,73,14,136,37,142,113,76,50,46,57,141,77,155,18,138,83
14,171,141,166,86,20,50,99,67,95,140,49,31,56,16,142,21,13,5,96,82,106,70
129,151,88,82,134,73,167,91,84,115,93,16,125,178,15,168,25,108,176,29,45,163,33
21,7,75,2,46,19,162,120,135,90,118,57,72,158,86,34,74,28,50,27,38,5,15
11,20,72,53,137,52,148,64,167,18,130,8,162,105,149,117,176,115,95,177,33,86,41
123,48,76,115,125,161,28,67,9,13,66,58,178,36,32,121,132,175,40,159,157,149,73
105,166,81,7,178,93,176,53,161,34,115,30,132,140,142,61,87,138,56,151,46,95,173
142,158,180,92,46,9,75,7,45,100,36,73,25,115,49,31,16,172,74,84,149,107,136
30,78,87,51,50,71,54,138,10,113,106,179,44,96,26,59,107,128,62,171,108,56,52
