"V1","V2","V3"
173,7,43
61,84,136
72,19,130
2,85,12
124,48,166
27,6,53
170,29,160
121,41,95
112,128,160
17,7,167
79,168,64
63,176,125
116,135,21
103,12,107
41,36,114
81,157,78
52,133,169
46,172,4
35,134,33
130,34,74
112,22,11
131,169,108
16,31,72
51,82,147
56,127,121
131,165,37
178,90,48
40,144,87
11,33,151
95,155,126
180,114,92
96,90,103
159,98,37
122,116,105
109,102,49
104,153,89
115,132,10
161,96,25
158,60,45
156,24,92
175,150,91
128,44,60
131,101,18
153,71,2
90,65,83
114,122,178
146,126,170
111,37,51
69,63,116
25,100,150
5,152,105
47,165,173
98,63,46
128,67,98
92,136,48
127,74,21
120,105,81
157,18,144
119,65,90
9,162,121
40,150,172
66,111,80
62,164,48
29,57,68
69,83,80
70,97,30
98,131,109
111,94,106
40,31,87
175,65,99
157,68,91
146,72,138
123,106,50
104,134,176
135,141,125
91,120,15
141,114,82
116,32,166
93,123,163
113,11,175
134,35,57
114,108,80
9,74,103
123,55,158
169,22,139
168,15,158
135,121,177
70,3,178
164,101,163
107,145,89
53,52,111
5,68,8
36,128,158
100,114,168
79,18,49
69,171,122
142,39,173
146,25,116
122,140,127
115,91,147
